nct_id,country
NCT00058838,Belgium
NCT00058838,Colombia
NCT00058838,France
NCT00058838,Germany
NCT00058838,Greece
NCT00058838,Italy
NCT00058838,Mexico
NCT00058838,Peru
NCT00058838,Puerto Rico
NCT00058838,Spain
NCT00059228,United States
NCT00059280,United States
NCT00059280,France
NCT00059280,Israel
NCT00059280,Taiwan
NCT00059280,United Kingdom
NCT00059306,United States
NCT00059306,Canada
NCT00059306,Chile
NCT00059306,Ecuador
NCT00059306,Mexico
NCT00059306,Peru
NCT00059306,Spain
NCT00059332,United States
NCT00060489,United States
NCT00060866,United States
NCT00060905,United States
NCT00060957,United States
NCT00061022,United States
NCT00061022,Argentina
NCT00061022,Australia
NCT00061022,Austria
NCT00061022,Belgium
NCT00061022,Brazil
NCT00061022,Bulgaria
NCT00061022,Canada
NCT00061022,Chile
NCT00061022,China
NCT00061022,Czech Republic
NCT00061022,France
NCT00061022,Germany
NCT00061022,Greece
NCT00061022,Hong Kong
NCT00061022,Hungary
NCT00061022,Israel
NCT00061022,"Korea, Republic of"
NCT00061022,Mexico
NCT00061022,New Zealand
NCT00061022,Philippines
NCT00061022,Poland
NCT00061022,Portugal
NCT00061022,Russian Federation
NCT00061022,Slovakia
NCT00061022,South Africa
NCT00061022,Spain
NCT00061022,Switzerland
NCT00061022,Taiwan
NCT00061022,United Kingdom
NCT00061074,United States
NCT00061087,United States
NCT00061113,United States
NCT00061776,United States
NCT00061789,United States
NCT00061802,United States
NCT00061802,India
NCT00061802,Romania
NCT00062478,United States
NCT00062673,United States
NCT00062738,United States
NCT00062972,United States
NCT00063193,United States
NCT00063297,United States
NCT00063310,United States
NCT00063323,United States
NCT00063362,
NCT00064467,United States
NCT00064623,United States
NCT00065169,United States
NCT00065273,United States
NCT00065702,United States
NCT00065767,United States
NCT00065923,United States
NCT00065936,United States
NCT00065949,United States
NCT00066157,United States
NCT00066170,United States
NCT00066170,France
NCT00066170,Germany
NCT00066170,Switzerland
NCT00066248,United States
NCT00066248,Canada
NCT00066248,Puerto Rico
NCT00066859,United States
NCT00067158,United States
NCT00067262,United States
NCT00067327,United States
NCT00067405,United States
NCT00067431,United States
NCT00067496,United States
NCT00067535,United States
NCT00067912,Canada
NCT00067938,United States
NCT00068029,United States
NCT00068029,Australia
NCT00068029,Brazil
NCT00068029,Canada
NCT00068029,France
NCT00068029,Germany
NCT00068029,Italy
NCT00068029,Mexico
NCT00068029,Netherlands
NCT00068029,Norway
NCT00068029,Spain
NCT00068029,United Kingdom
NCT00068042,United States
NCT00068042,Australia
NCT00068042,Brazil
NCT00068042,Canada
NCT00068042,France
NCT00068042,Germany
NCT00068042,Greece
NCT00068042,Ireland
NCT00068042,Italy
NCT00068042,Norway
NCT00068042,Spain
NCT00068042,Sweden
NCT00068042,United Kingdom
NCT00068081,United States
NCT00068107,United States
NCT00068458,United States
NCT00068913,United States
NCT00069069,
NCT00069251,United States
NCT00069329,United States
NCT00069459,United States
NCT00069550,United States
NCT00069641,United States
NCT00069641,Brazil
NCT00069641,Germany
NCT00069641,United Kingdom
NCT00069849,United States
NCT00069927,United States
NCT00070694,United States
NCT00070928,United States
NCT00070941,United States
NCT00070993,United States
NCT00071032,United States
NCT00071253,United States
NCT00071643,United States
NCT00071695,France
NCT00071721,United States
NCT00071747,United States
NCT00071838,United States
NCT00071877,United States
NCT00072683,United States
NCT00072709,United States
NCT00072709,Belgium
NCT00072709,Canada
NCT00072709,France
NCT00072709,Germany
NCT00072709,Italy
NCT00072709,Netherlands
NCT00072709,Switzerland
NCT00072709,United Kingdom
NCT00072735,United States
NCT00073164,United States
NCT00073320,
NCT00073372,
NCT00073411,United States
NCT00073476,United States
NCT00073476,Estonia
NCT00073476,Germany
NCT00073476,Hungary
NCT00073476,Italy
NCT00073476,Portugal
NCT00073476,Singapore
NCT00073476,Spain
NCT00073658,United States
NCT00073697,United States
NCT00073697,Italy
NCT00074477,
NCT00074529,
NCT00074607,United States
NCT00074776,United States
NCT00074815,United States
NCT00074932,United States
NCT00074958,United States
NCT00074958,France
NCT00074958,Poland
NCT00074958,United Kingdom
NCT00074971,United States
NCT00074971,France
NCT00074971,Netherlands
NCT00074971,Puerto Rico
NCT00074971,United Kingdom
NCT00074984,United States
NCT00074984,Canada
NCT00074984,Czech Republic
NCT00074984,Hungary
NCT00074984,Poland
NCT00074984,United Kingdom
NCT00075244,United States
NCT00075842,United States
NCT00075959,United States
NCT00076102,United States
NCT00076115,
NCT00076440,United States
NCT00076492,United States
NCT00076674,United States
NCT00076687,United States
NCT00076687,Czech Republic
NCT00076687,Hungary
NCT00076687,Poland
NCT00076726,
NCT00076856,
NCT00076934,United States
NCT00077207,United States
NCT00077714,
NCT00077727,
NCT00078039,
NCT00078286,United States
NCT00078312,United States
NCT00078312,Russian Federation
NCT00078325,
NCT00078377,
NCT00078481,United States
NCT00078754,United States
NCT00078767,United States
NCT00078988,United States
NCT00078988,Australia
NCT00078988,Canada
NCT00079495,
NCT00079638,
NCT00079677,
NCT00079768,United States
NCT00079807,United States
NCT00080054,United States
NCT00080145,United States
NCT00080158,United States
NCT00080314,United States
NCT00080327,United States
NCT00080366,United States
NCT00080483,United States
NCT00081380,United States
NCT00081380,Canada
NCT00081497,United States
NCT00081497,Canada
NCT00081497,Czech Republic
NCT00081497,Hungary
NCT00081497,Poland
NCT00081497,United Kingdom
NCT00082043,United States
NCT00082316,United States
NCT00082485,United States
NCT00082602,
NCT00083421,United States
NCT00083421,Canada
NCT00083590,United States
NCT00083668,
NCT00083954,United States
NCT00083980,
NCT00084084,United States
NCT00084084,Canada
NCT00084669,United States
NCT00085098,United States
NCT00085098,Australia
NCT00085098,Canada
NCT00085098,Puerto Rico
NCT00085748,
NCT00085761,United States
NCT00085891,United States
NCT00086112,
NCT00086138,United States
NCT00086190,United States
NCT00086190,Canada
NCT00086190,Puerto Rico
NCT00086255,United States
NCT00086281,United States
NCT00086281,Canada
NCT00086294,United States
NCT00086320,
NCT00086385,United States
NCT00086411,United States
NCT00086593,United States
NCT00086593,Canada
NCT00086593,United Kingdom
NCT00086671,United States
NCT00086671,Canada
NCT00086671,Germany
NCT00086671,Netherlands
NCT00086671,United Kingdom
NCT00087529,
NCT00087542,United States
NCT00087555,United States
NCT00087724,United States
NCT00087724,Canada
NCT00087750,United States
NCT00087789,United States
NCT00087880,United States
NCT00088036,United States
NCT00088036,Argentina
NCT00088036,Poland
NCT00088036,Romania
NCT00088036,Turkey
NCT00088049,United States
NCT00088075,
NCT00088153,United States
NCT00088166,United States
NCT00088166,Canada
NCT00088374,United States
NCT00088387,United States
NCT00088452,United States
NCT00088465,United States
NCT00088465,Argentina
NCT00088465,Australia
NCT00088465,Austria
NCT00088465,Belgium
NCT00088465,Brazil
NCT00088465,Croatia
NCT00088465,Czech Republic
NCT00088465,France
NCT00088465,Germany
NCT00088465,Hungary
NCT00088465,Israel
NCT00088465,Italy
NCT00088465,Mexico
NCT00088465,Netherlands
NCT00088465,Poland
NCT00088465,Portugal
NCT00088465,Puerto Rico
NCT00088465,Romania
NCT00088465,Russian Federation
NCT00088465,Slovakia
NCT00088465,South Africa
NCT00088465,Spain
NCT00088465,Sweden
NCT00088465,Taiwan
NCT00088478,United States
NCT00088478,Croatia
NCT00088478,Russian Federation
NCT00088491,Finland
NCT00088491,Turkey
NCT00088582,United States
NCT00088621,United States
NCT00088634,United States
NCT00088673,United States
NCT00088673,Canada
NCT00088699,United States
NCT00088738,United States
NCT00089414,United States
NCT00089440,United States
NCT00089557,
NCT00089622,United States
NCT00089687,United States
NCT00089843,United States
NCT00089869,United States
NCT00090012,United States
NCT00090064,United States
NCT00090116,United States
NCT00090311,United States
NCT00090324,United States
NCT00090324,Germany
NCT00090324,India
NCT00090324,Malaysia
NCT00090324,Philippines
